code,name,manufacturer,tier,group,slug
1264,"Квін Стар Макс, КЕ","Укравіт",premium,"Гербіцид",kvin-star-maks-ke-ukravit
1265,"Кельт, КЕ","Укравіт",premium,"Гербіцид",kelt-ke-ukravit
1266,"Клайнер, ВГ","Укравіт",premium,"Гербіцид",klainer-vh-ukravit
1267,"Командир, КЕ","Укравіт",premium,"Гербіцид",komandyr-ke-ukravit
1268,"Лаплас, ВГ Новинка","Укравіт",premium,"Гербіцид",laplas-vh-novynka-ukravit
1269,"Макстар, РК","Укравіт",premium,"Гербіцид",makstar-rk-ukravit
1270,"Мастак, РК","Укравіт",premium,"Гербіцид",mastak-rk-ukravit
1271,"Міладар Дуо, КС","Укравіт",premium,"Гербіцид",miladar-duo-ks-ukravit
1272,"Міладар, КС","Укравіт",premium,"Гербіцид",miladar-ks-ukravit
1273,"Молвіт, КЕ","Укравіт",premium,"Гербіцид",molvit-ke-ukravit
1274,"Нарапс, РК","Укравіт",premium,"Гербіцид",naraps-rk-ukravit
1275,"Панда, КЕ","Укравіт",premium,"Гербіцид",panda-ke-ukravit
1276,"Пікадор, РК","Укравіт",premium,"Гербіцид",pikador-rk-ukravit
1277,"Селеніт Макс, КЕ","Укравіт",premium,"Гербіцид",selenit-maks-ke-ukravit
1278,"Стелавіт, РК","Укравіт",premium,"Гербіцид",stelavit-rk-ukravit
1279,"Стелс, КЕ","Укравіт",premium,"Гербіцид",stels-ke-ukravit
1280,"Тернат, КС","Укравіт",premium,"Гербіцид",ternat-ks-ukravit
1281,"Тівітус, ВГ","Укравіт",premium,"Гербіцид",tivitus-vh-ukravit
1282,"Тізер, КЕ","Укравіт",premium,"Гербіцид",tizer-ke-ukravit
1283,"Флагман, РК","Укравіт",premium,"Гербіцид",flahman-rk-ukravit
1284,"Формула, ВГ","Укравіт",premium,"Гербіцид",formula-vh-ukravit
1285,"Хортус, КЕ","Укравіт",premium,"Гербіцид",khortus-ke-ukravit
1286,"Вензар 80 з.п.","ФМС",original,"Гербіцид",venzar-80-z-p-fms
1287,"Експрес 75 в.г","ФМС",original,"Гербіцид",ekspres-75-v-h-fms
1288,"Експрес Голд","ФМС",original,"Гербіцид",ekspres-hold-fms
1289,"Еллай супер","ФМС",original,"Гербіцид",ellai-super-fms
1290,"Карiбу 50% з.п","ФМС",original,"Гербіцид",karibu-50-z-p-fms
1291,"Комманд","ФМС",original,"Гербіцид",kommand-fms
1292,"Нікіт","ФМС",original,"Гербіцид",nikit-fms
1293,"Саксессор","ФМС",original,"Гербіцид",saksessor-fms
1294,"Сальса","ФМС",original,"Гербіцид",salsa-korteva
1295,"Селект","ФМС",original,"Гербіцид",selekt-fms
1296,"Фаместра","ФМС",original,"Гербіцид",famestra-fms
1297,"Хармонi","ФМС",original,"Гербіцид",kharmoni-fms
1298,"Альвіус, МД","Alfa Smart Agro",premium,"Гербіцид",alvius-md-alfa-smart-agro
1299,"Альфа-Бентазон, РК","Alfa Smart Agro",premium,"Гербіцид",alfa-bentazon-rk-alfa-smart-agro
1300,"Альфа-Бригадир, КЕ","Alfa Smart Agro",premium,"Гербіцид",alfa-bryhadyr-ke-alfa-smart-agro
1301,"Альфа-Гетьман, КЕ","Alfa Smart Agro",premium,"Гербіцид",alfa-hetman-ke-alfa-smart-agro
1302,"Альфа-Дикамба, РК","Alfa Smart Agro",premium,"Гербіцид",alfa-dykamba-rk-alfa-smart-agro
1303,"Альфа-Маїс, ВГ","Alfa Smart Agro",premium,"Гербіцид",alfa-mayis-vh-alfa-smart-agro
1304,"Альфа-Піралід, РК","Alfa Smart Agro",premium,"Гербіцид",alfa-piralid-rk-alfa-smart-agro
1305,"Альфа-Прометрин, КС","Alfa Smart Agro",premium,"Гербіцид",alfa-prometryn-ks-alfa-smart-agro
1306,"Альфа-Стар, ВГ","Alfa Smart Agro",premium,"Гербіцид",alfa-star-vh-alfa-smart-agro
1307,"Антизлак, КЕ (тільки разом з ПАР Омега Екстра, КЕ, ціна за комплект 1:1)","Alfa Smart Agro",premium,"Гербіцид",antyzlak-ke-tilky-razom-z-par-omeha-ekstra-ke-tsina-za-kompl
1308,"Верітан, РК","Alfa Smart Agro",premium,"Гербіцид",veritan-rk-alfa-smart-agro
1309,"Гладіатор, КС","Alfa Smart Agro",premium,"Гербіцид",hladiator-ks-alfa-smart-agro
1310,"Еледжі, КЕ","Alfa Smart Agro",premium,"Гербіцид",eledzhi-ke-alfa-smart-agro
1311,"Елсвін, МЕ","Alfa Smart Agro",premium,"Гербіцид",elsvin-me-alfa-smart-agro
1312,"Еталон, КС","Alfa Smart Agro",premium,"Гербіцид",etalon-ks-alfa-smart-agro
1313,"Кайман, КЕ","Alfa Smart Agro",premium,"Гербіцид",kaiman-ke-alfa-smart-agro
1314,"Кампус, КЕ","Alfa Smart Agro",premium,"Гербіцид",kampus-ke-alfa-smart-agro
1315,"Конкур, КС","Alfa Smart Agro",premium,"Гербіцид",konkur-ks-alfa-smart-agro
1316,"Контролер, ЗП","Alfa Smart Agro",premium,"Гербіцид",kontroler-zp-alfa-smart-agro
1317,"Левіас, КЕ","Alfa Smart Agro",premium,"Гербіцид",levias-ke-alfa-smart-agro
1318,"Лендінг, КС","Alfa Smart Agro",premium,"Гербіцид",lendinh-ks-alfa-smart-agro
1319,"Лівендор, МЕ","Alfa Smart Agro",premium,"Гербіцид",livendor-me-alfa-smart-agro
